country,year,co2_per_capita
Africa,1960,0.559
Africa,1961,0.565
Africa,1962,0.567
Africa,1963,0.586
Africa,1964,0.627
Africa,1965,0.675
Africa,1966,0.681
Africa,1967,0.712
Africa,1968,0.754
Africa,1969,0.794
Africa,1970,0.843
Africa,1971,0.9
Africa,1972,0.928
Africa,1973,0.972
Africa,1974,0.972
Africa,1975,0.944
Africa,1976,0.997
Africa,1977,1
Africa,1978,1.038
Africa,1979,1.089
Africa,1980,1.137
Africa,1981,1.132
Africa,1982,1.146
Africa,1983,1.159
Africa,1984,1.23
Africa,1985,1.226
Africa,1986,1.235
Africa,1987,1.201
Africa,1988,1.228
Africa,1989,1.15
Africa,1990,1.052
Africa,1991,1.068
Africa,1992,1.01
Africa,1993,1.043
Africa,1994,1.029
Africa,1995,1.077
Africa,1996,1.066
Africa,1997,1.079
Africa,1998,1.085
Africa,1999,1.05
Africa,2000,1.094
Africa,2001,1.064
Africa,2002,1.049
Africa,2003,1.109
Africa,2004,1.16
Africa,2005,1.155
Africa,2006,1.161
Africa,2007,1.176
Africa,2008,1.197
Africa,2009,1.176
Africa,2010,1.172
Africa,2011,1.181
Africa,2012,1.146
Africa,2013,1.123
Africa,2014,1.184
Africa,2015,1.119
Africa,2016,1.119
Africa,2017,1.113
Africa,2018,1.086
Africa,2019,1.077
Africa,2020,0.99
Asia,1960,0.905
Asia,1961,0.804
Asia,1962,0.759
Asia,1963,0.788
Asia,1964,0.816
Asia,1965,0.873
Asia,1966,0.928
Asia,1967,0.92
Asia,1968,0.991
Asia,1969,1.098
Asia,1970,1.261
Asia,1971,1.348
Asia,1972,1.392
Asia,1973,1.461
Asia,1974,1.455
Asia,1975,1.493
Asia,1976,1.554
Asia,1977,1.622
Asia,1978,1.662
Asia,1979,1.697
Asia,1980,1.663
Asia,1981,1.621
Asia,1982,1.645
Asia,1983,1.678
Asia,1984,1.741
Asia,1985,1.807
Asia,1986,1.846
Asia,1987,1.887
Asia,1988,2
Asia,1989,2.03
Asia,1990,2.055
Asia,1991,2.12
Asia,1992,2.179
Asia,1993,2.243
Asia,1994,2.305
Asia,1995,2.363
Asia,1996,2.422
Asia,1997,2.419
Asia,1998,2.312
Asia,1999,2.351
Asia,2000,2.431
Asia,2001,2.445
Asia,2002,2.55
Asia,2003,2.76
Asia,2004,2.972
Asia,2005,3.149
Asia,2006,3.321
Asia,2007,3.46
Asia,2008,3.598
Asia,2009,3.703
Asia,2010,3.928
Asia,2011,4.172
Asia,2012,4.293
Asia,2013,4.308
Asia,2014,4.334
Asia,2015,4.317
Asia,2016,4.294
Asia,2017,4.35
Asia,2018,4.442
Asia,2019,4.48
Asia,2020,4.379
Europe,1960,6.541
Europe,1961,6.712
Europe,1962,7.013
Europe,1963,7.384
Europe,1964,7.68
Europe,1965,7.839
Europe,1966,8.045
Europe,1967,8.164
Europe,1968,8.488
Europe,1969,8.893
Europe,1970,9.267
Europe,1971,9.545
Europe,1972,9.829
Europe,1973,10.206
Europe,1974,10.173
Europe,1975,10.173
Europe,1976,10.67
Europe,1977,10.697
Europe,1978,10.983
Europe,1979,11.193
Europe,1980,11.148
Europe,1981,10.696
Europe,1982,10.568
Europe,1983,10.536
Europe,1984,10.568
Europe,1985,10.984
Europe,1986,10.958
Europe,1987,10.948
Europe,1988,10.952
Europe,1989,10.868
Europe,1990,11.112
Europe,1991,10.666
Europe,1992,9.765
Europe,1993,9.353
Europe,1994,8.849
Europe,1995,8.818
Europe,1996,8.885
Europe,1997,8.605
Europe,1998,8.576
Europe,1999,8.464
Europe,2000,8.468
Europe,2001,8.64
Europe,2002,8.586
Europe,2003,8.777
Europe,2004,8.807
Europe,2005,8.781
Europe,2006,8.902
Europe,2007,8.814
Europe,2008,8.696
Europe,2009,7.981
Europe,2010,8.273
Europe,2011,8.155
Europe,2012,8.07
Europe,2013,7.845
Europe,2014,7.527
Europe,2015,7.521
Europe,2016,7.503
Europe,2017,7.532
Europe,2018,7.485
Europe,2019,7.26
Europe,2020,6.608
North America,1960,11.639
North America,1961,11.403
North America,1962,11.634
North America,1963,11.888
North America,1964,12.294
North America,1965,12.594
North America,1966,13.004
North America,1967,13.359
North America,1968,13.68
North America,1969,14.149
North America,1970,15.062
North America,1971,15.008
North America,1972,15.533
North America,1973,16.007
North America,1974,15.354
North America,1975,14.783
North America,1976,15.45
North America,1977,15.677
North America,1978,15.702
North America,1979,15.805
North America,1980,15.132
North America,1981,14.595
North America,1982,13.794
North America,1983,13.457
North America,1984,13.939
North America,1985,13.766
North America,1986,13.549
North America,1987,13.88
North America,1988,14.305
North America,1989,14.389
North America,1990,14.126
North America,1991,13.827
North America,1992,13.941
North America,1993,14.009
North America,1994,14.111
North America,1995,14.068
North America,1996,14.376
North America,1997,14.44
North America,1998,14.398
North America,1999,14.413
North America,2000,14.746
North America,2001,14.385
North America,2002,14.336
North America,2003,14.416
North America,2004,14.46
North America,2005,14.397
North America,2006,14.111
North America,2007,14.165
North America,2008,13.592
North America,2009,12.526
North America,2010,12.773
North America,2011,12.45
North America,2012,11.978
North America,2013,12.106
North America,2014,12.063
North America,2015,11.704
North America,2016,11.353
North America,2017,11.155
North America,2018,11.366
North America,2019,11.056
North America,2020,9.805
Oceania,1960,6.424
Oceania,1961,6.446
Oceania,1962,6.506
Oceania,1963,6.81
Oceania,1964,7.224
Oceania,1965,7.791
Oceania,1966,7.616
Oceania,1967,7.912
Oceania,1968,8.029
Oceania,1969,8.269
Oceania,1970,8.418
Oceania,1971,8.569
Oceania,1972,8.687
Oceania,1973,9.335
Oceania,1974,9.303
Oceania,1975,9.291
Oceania,1976,9.119
Oceania,1977,9.672
Oceania,1978,10.059
Oceania,1979,10.013
Oceania,1980,10.62
Oceania,1981,10.833
Oceania,1982,10.881
Oceania,1983,10.314
Oceania,1984,10.675
Oceania,1985,10.811
Oceania,1986,10.625
Oceania,1987,11.137
Oceania,1988,11.2
Oceania,1989,11.651
Oceania,1990,11.547
Oceania,1991,11.491
Oceania,1992,11.488
Oceania,1993,11.492
Oceania,1994,11.644
Oceania,1995,11.759
Oceania,1996,11.934
Oceania,1997,12.201
Oceania,1998,12.385
Oceania,1999,12.529
Oceania,2000,12.576
Oceania,2001,12.767
Oceania,2002,12.835
Oceania,2003,12.934
Oceania,2004,13.168
Oceania,2005,13.034
Oceania,2006,13.094
Oceania,2007,13.022
Oceania,2008,12.979
Oceania,2009,12.438
Oceania,2010,12.327
Oceania,2011,12.139
Oceania,2012,11.912
Oceania,2013,11.478
Oceania,2014,11.517
Oceania,2015,11.47
Oceania,2016,11.597
Oceania,2017,11.442
Oceania,2018,11.327
Oceania,2019,11.26
Oceania,2020,10.486
South America,1960,1.34
South America,1961,1.321
South America,1962,1.375
South America,1963,1.362
South America,1964,1.391
South America,1965,1.414
South America,1966,1.447
South America,1967,1.497
South America,1968,1.572
South America,1969,1.66
South America,1970,1.76
South America,1971,1.764
South America,1972,1.804
South America,1973,1.91
South America,1974,1.981
South America,1975,1.916
South America,1976,1.907
South America,1977,1.934
South America,1978,2.006
South America,1979,2.102
South America,1980,2.114
South America,1981,1.99
South America,1982,1.952
South America,1983,1.891
South America,1984,1.875
South America,1985,1.874
South America,1986,1.939
South America,1987,1.998
South America,1988,2.041
South America,1989,2.001
South America,1990,2.016
South America,1991,2.005
South America,1992,2.009
South America,1993,2.087
South America,1994,2.106
South America,1995,2.169
South America,1996,2.215
South America,1997,2.309
South America,1998,2.429
South America,1999,2.445
South America,2000,2.358
South America,2001,2.355
South America,2002,2.366
South America,2003,2.366
South America,2004,2.362
South America,2005,2.426
South America,2006,2.427
South America,2007,2.474
South America,2008,2.621
South America,2009,2.553
South America,2010,2.758
South America,2011,2.784
South America,2012,2.895
South America,2013,3.012
South America,2014,3.012
South America,2015,2.922
South America,2016,2.799
South America,2017,2.755
South America,2018,2.577
South America,2019,2.494
South America,2020,2.308
